Date,Open,High,Low,Close,Volume,Market Cap,MSTR Stock,PYPL_Stock,BDT_Stock
2020-06-10,9794.12,9908.9,9728.29,9870.09,25706567601,1.82E+11,123.92,159.91,6730
2020-06-11,9870.08,9938.3,9263.07,9321.78,30247143440,1.72E+11,117.34,153.04,6370
2020-06-12,9320.69,9540.47,9285.85,9480.84,22610564515,1.74E+11,118.02,155.26,6160
2020-06-13,9480.74,9493.21,9396.01,9475.28,17564322315,1.74E+11,118.02,157.55,6160
2020-06-14,9477.55,9482.27,9347.59,9386.79,18991732746,1.73E+11,118.02,157.55,6160
2020-06-15,9386.04,9504.86,8990.18,9450.7,26699704768,1.74E+11,122.67,157.55,5350
2020-06-16,9454.27,9579.43,9400.45,9538.02,21565537209,1.76E+11,121.96,161.22,5640
2020-06-17,9533.78,9540.42,9327.34,9480.26,20177709879,1.75E+11,121.73,163.83,5700
2020-06-18,9481.57,9482.78,9328.4,9411.84,17770083003,1.73E+11,119.46,168.05,5830
2020-06-19,9410.29,9440.88,9274.3,9288.02,19632223107,1.71E+11,118.19,164.36,5800
2020-06-20,9290.96,9394.97,9247.38,9332.34,17130541557,1.72E+11,118.19,170.26,5800
2020-06-21,9330.93,9401.11,9300.43,9303.63,15324301169,1.71E+11,118.19,170.26,5800
2020-06-22,9300.92,9655.07,9296.87,9648.72,21104009514,1.78E+11,118.71,170.26,5840
2020-06-23,9644.08,9670.54,9547.25,9629.66,17006433272,1.77E+11,117.54,172.79,6130
2020-06-24,9632.15,9680.37,9278.23,9313.61,18961716076,1.71E+11,114.38,168,6650
2020-06-25,9314.13,9340.16,9095.32,9264.81,18616048626,1.71E+11,117.79,172.5,6260
2020-06-26,9260.99,9310.52,9101.74,9162.92,18341465837,1.69E+11,116,170.87,6120
2020-06-27,9167.82,9207.81,8998.22,9045.39,17273093144,1.67E+11,116,168.35,6120
2020-06-28,9048.46,9197.55,8975.53,9143.58,14560870760,1.68E+11,116,168.35,6120
2020-06-29,9140.03,9237.57,9041.88,9190.85,16460547078,1.69E+11,118.5,168.35,6240
2020-06-30,9185.58,9217.84,9084.84,9137.99,15735797744,1.68E+11,118.29,174.23,6130
2020-07-01,9145.99,9309.75,9104.73,9228.33,15971550355,1.70E+11,117.8,177.43,5960
2020-07-02,9231.14,9274.96,9036.62,9123.41,16338916796,1.68E+11,117.35,177.21,5970
2020-07-03,9124.84,9202.34,9058.79,9087.3,13078970999,1.67E+11,117.35,176.18,6090
2020-07-04,9084.23,9183.3,9053.63,9132.49,12290528515,1.68E+11,117.35,176.18,6090
2020-07-05,9126.09,9162.18,8977.02,9073.94,12903406143,1.67E+11,117.35,176.18,6090
2020-07-06,9072.85,9375.47,9058.66,9375.47,17889263252,1.73E+11,119.75,176.18,6220
2020-07-07,9349.16,9360.62,9201.82,9252.28,13839652595,1.70E+11,118.09,177.28,6250
2020-07-08,9253.02,9450.34,9249.5,9428.33,19702359883,1.74E+11,118.22,181.57,6200
2020-07-09,9427.99,9431.38,9235,9277.97,18000702524,1.71E+11,117.37,183.23,6250
2020-07-10,9273.36,9287.47,9118,9278.81,16860035605,1.71E+11,117.66,178.4,6140
2020-07-11,9277.51,9293.53,9199.49,9240.35,13249910444,1.70E+11,117.66,171.51,6140
2020-07-12,9241.06,9319.42,9197.45,9276.5,14452361907,1.71E+11,117.66,171.51,6140
2020-07-13,9277.2,9306.4,9224.29,9243.61,17519821266,1.70E+11,115.79,171.51,6230
2020-07-14,9238.7,9283.84,9171.66,9243.21,18085038362,1.70E+11,116.66,172.3,6060
2020-07-15,9241.9,9275.33,9171.93,9192.84,15844731575,1.69E+11,120.45,172.06,6060
2020-07-16,9191.98,9214.31,9088.95,9132.23,15713967523,1.68E+11,118.46,169.81,5900
2020-07-17,9131.81,9182.25,9089.2,9151.39,13944570750,1.69E+11,118.34,173.92,5950
2020-07-18,9151.18,9230.98,9100.82,9159.04,12252601475,1.69E+11,118.34,178.82,5950
2020-07-19,9158.01,9201.4,9097.63,9185.82,12939002784,1.69E+11,118.34,178.82,5950
2020-07-20,9187.22,9214.27,9137.51,9164.23,13755604146,1.69E+11,120.51,178.82,5930
2020-07-21,9162.51,9407.26,9149.39,9374.89,18069581956,1.73E+11,121.04,175.58,5980
2020-07-22,9375.08,9530.52,9319.65,9525.36,16532254884,1.76E+11,121.21,178.42,6050
2020-07-23,9527.14,9610.25,9483,9581.07,18146399002,1.77E+11,119.76,173.86,6020
2020-07-24,9585.51,9623.34,9481.45,9536.89,16552768325,1.76E+11,116.95,172.56,5940
2020-07-25,9539.49,9704.56,9530.21,9677.11,16610070933,1.78E+11,116.95,177.98,5940
2020-07-26,9680.23,10023.81,9652.85,9905.17,20507998997,1.83E+11,116.95,177.98,5940
2020-07-27,9905.22,11298.22,9903.97,10990.87,35359749590,2.03E+11,117.66,177.98,6300
2020-07-28,11017.46,11204.33,10632.63,10912.82,28766551142,2.01E+11,117.81,176.27,6710
2020-07-29,10912.95,11304.4,10856.14,11100.47,24617249715,2.05E+11,122.74,184.6,6800
2020-07-30,11099.83,11169.36,10895.46,11111.21,22857247901,2.05E+11,122.15,192.51,6830
