Date,Open,High,Low,Close,Volume,Market Cap
2019-07-26,9913.13,9916.52,9717.98,9870.3,14495714483,1.76E+11
2019-07-27,9871.16,10167.32,9411.52,9477.68,16817809536,1.69E+11
2019-07-28,9491.63,9575.55,9252.3,9552.86,13738687093,1.70E+11
2019-07-29,9548.18,9681.65,9472.95,9519.15,13791445323,1.70E+11
2019-07-30,9522.33,9701.76,9437.34,9607.42,13829811132,1.71E+11
2019-07-31,9604.05,10085.63,9598.1,10085.63,16631520648,1.80E+11
2019-08-01,10077.44,10446.92,9922.02,10399.67,17165337858,1.86E+11
2019-08-02,10402.04,10657.95,10371.01,10518.17,17489094082,1.88E+11
2019-08-03,10519.28,10946.78,10503.5,10821.73,15352685061,1.93E+11
2019-08-04,10821.63,11009.21,10620.28,10970.18,16530894787,1.96E+11
2019-08-05,10960.74,11895.09,10960.74,11805.65,23875988832,2.11E+11
2019-08-06,11811.55,12273.82,11290.73,11478.17,23635107660,2.05E+11
2019-08-07,11476.19,12036.99,11433.7,11941.97,22194988641,2.13E+11
2019-08-08,11954.04,11979.42,11556.17,11966.41,19481591730,2.14E+11
2019-08-09,11953.47,11970.46,11709.75,11862.94,18339989960,2.12E+11
2019-08-10,11861.56,11915.66,11323.9,11354.02,18125355447,2.03E+11
2019-08-11,11349.74,11523.58,11248.29,11523.58,15774371518,2.06E+11
2019-08-12,11528.19,11528.19,11320.95,11382.62,13647198229,2.03E+11
2019-08-13,11385.05,11420.05,10830.33,10895.83,16681503537,1.95E+11
2019-08-14,10889.49,10889.56,10028.14,10051.7,19990838300,1.80E+11
2019-08-15,10038.42,10437.41,9675.32,10311.55,22899115082,1.84E+11
2019-08-16,10319.42,10524.35,9855.48,10374.34,20228207096,1.86E+11
2019-08-17,10358.72,10452.62,10086.7,10231.74,13778035685,1.83E+11
2019-08-18,10233.01,10487.07,10119.09,10345.81,12999813869,1.85E+11
2019-08-19,10350.28,10916.05,10313.2,10916.05,16038264603,1.95E+11
2019-08-20,10916.35,10947.04,10618.96,10763.23,15053082175,1.93E+11
2019-08-21,10764.57,10798.73,9962.72,10138.05,19473084768,1.81E+11
2019-08-22,10142.52,10233,9831.46,10131.06,17097508856,1.81E+11
2019-08-23,10136.31,10442.44,10078.19,10407.97,15627023886,1.86E+11
2019-08-24,10407.64,10418.02,9982.3,10159.96,15451030650,1.82E+11
2019-08-25,10160.74,10304.62,10008.79,10138.52,14153856610,1.81E+11
2019-08-26,10126.3,10512.33,10126.3,10370.82,18438654080,1.86E+11
2019-08-27,10372.83,10381.33,10087.3,10185.5,14762609503,1.82E+11
2019-08-28,10203.43,10279.37,9716.66,9754.42,17603790323,1.75E+11
2019-08-29,9756.79,9756.79,9421.63,9510.2,17045878501,1.70E+11
2019-08-30,9514.84,9656.12,9428.3,9598.17,13595263986,1.72E+11
2019-08-31,9597.54,9673.22,9531.8,9630.66,11454806419,1.72E+11
2019-09-01,9630.59,9796.76,9582.94,9757.97,11445355859,1.75E+11
2019-09-02,9757.47,10396.59,9730.65,10346.76,17248102294,1.85E+11
2019-09-03,10345.73,10736.1,10308.55,10623.54,19384917989,1.90E+11
2019-09-04,10621.18,10762.64,10434.71,10594.49,16742664769,1.90E+11
2019-09-05,10588.18,10627.27,10516.42,10575.53,14551239508,1.89E+11
2019-09-06,10578.2,10898.76,10292.3,10353.3,19536574783,1.86E+11
2019-09-07,10353.93,10558.67,10348.92,10517.25,15307366476,1.88E+11
2019-09-08,10518.11,10595.64,10409.09,10441.28,13670567493,1.87E+11
2019-09-09,10443.23,10450.31,10144.93,10334.97,17595943368,1.85E+11
2019-09-10,10336.41,10394.35,10020.57,10115.98,14906809639,1.81E+11
2019-09-11,10123.03,10215.95,9980.78,10178.37,15428063426,1.83E+11
2019-09-12,10176.82,10442.25,10099.24,10410.13,15323563925,1.87E+11
2019-09-13,10415.36,10441.49,10226.6,10360.55,14109864675,1.86E+11
2019-09-14,10345.4,10422.13,10291.69,10358.05,13468713124,1.86E+11
2019-09-15,10356.47,10387.03,10313.09,10347.71,12043433567,1.86E+11
2019-09-16,10347.22,10386.87,10189.74,10276.79,15160167779,1.84E+11
